neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L26_N8053,True,120,-0.0016872117916742954,0.020595880823835233,0.0013194600741068521,0.5936812637472505,0.00041811168193817166,0.589882023595281,0.0022695342699686686,0.39172165566886624,0.0012691179911295568,0.008398320335932814,-0.0035890549421310424,0.016596680663867228,-0.0246390104293823,25.9
L27_N45,True,120,-4.048248132069871e-05,0.9652069586082783,-0.0009142835934956868,0.7222555488902219,-0.002313543359438578,0.0065986802639472104,0.0026347080866495768,0.26394721055788845,0.0023540298144022623,0.0001999600079984003,-0.0017205268144607545,0.26974605078984204,-0.1427194625139236,91.9
L28_N11622,True,120,0.0019572655359903967,0.029194161167766446,0.0027867992719014484,0.3353329334133173,-0.0011482656002044676,0.21095780843831233,0.0011294802029927571,0.7228554289142172,-0.0008090039094289144,0.08298340331933614,-0.003916390736897786,0.014797040591881624,0.0642668530344963,61.2
L28_N14222,True,120,-0.00011109113693237322,0.9070185962807439,0.003096934159596761,0.2349530093981204,-6.400942802429188e-05,0.9444111177764447,-0.0009388168652852376,0.7644471105778844,0.0001751330991586049,0.7174565086982604,-0.00215817391872406,0.11657668466306739,0.0277381911873817,29.5
L28_N5085,True,120,0.0052169064680735264,0.0001999600079984003,0.006214463710784912,0.06818636272745451,-0.002214372158050537,0.07078584283143372,-0.004703990618387858,0.16996600679864027,-0.003002566347519557,0.0001999600079984003,-0.0015104413032531738,0.3789242151569686,-0.1831445544958114,96.3
L29_N10092,True,120,-0.0005220343669255573,0.4533093381323735,0.00048435131708780924,0.8710257948410318,0.0012180695931116735,0.05098980203959208,0.0009590387344360352,0.6986602679464107,-0.0006960461537043254,0.04339132173565287,-0.0014434258143107097,0.3193361327734453,-0.4097545444965362,99.9
L29_N10191,True,120,0.0025805224974950144,0.005598880223955209,-0.002336776256561279,0.4833033393321336,-0.002758495012919108,0.0011997600479904018,0.003273936112721761,0.3515296940611878,0.00017797127366065977,0.729254149170166,-0.0009370893239974976,0.6374725054989002,0.1551799476146698,93.7
L29_N10877,True,120,0.0034753143787384024,0.0003999200159968006,-0.0022720694541931152,0.4667066586682663,-0.0012327084938685096,0.14137172565486902,0.00014847119649251302,0.9516096780643871,-0.0022426341970761612,0.0003999200159968006,0.0021234571933746336,0.21995600879824034,0.0730570629239082,65.5
L29_N11308,True,120,0.004984525839487711,0.0001999600079984003,0.0025175968805948895,0.3763247350529894,-0.0022558331489562987,0.0009998000399920016,-0.002379457155863444,0.28834233153369326,-0.0027286941806475315,0.0001999600079984003,-0.0001381496588389079,0.9256148770245951,0.0823485553264617,69.89999999999999
L29_N11791,True,120,-0.0013088534275690715,0.20435912817436513,0.0021854281425476075,0.4927014597080584,-0.00013520320256551083,0.8954209158168366,0.0004854122797648112,0.8998200359928015,0.0014440308014551796,0.009798040391921616,-0.002670914928118388,0.16476704659068186,-0.2060443758964538,97.9
