pair,alpha,layer,rankunknown,rankI,ranknot
24,3.0,21,33527,150171,16899
24,3.0,22,48676,147657,7718
24,3.0,23,48828,144493,5069
24,3.0,24,22450,136565,888
24,3.0,25,15774,120347,438
24,3.0,26,30115,116352,119
25,-3.0,20,141845,151248,151947
25,-3.0,21,135377,151217,151722
25,-3.0,22,136365,151579,151501
25,-3.0,23,132481,151651,151032
25,-3.0,24,112538,151256,142401
25,-3.0,25,105715,149314,141261
25,-3.0,26,123121,149630,141487
25,0.0,20,146290,151368,149841
25,0.0,21,136238,150799,148984
25,0.0,22,127659,150971,148738
25,0.0,23,121970,151093,145883
25,0.0,24,82158,151188,128139
25,0.0,25,47140,137442,93943
25,0.0,26,78607,145766,113398
25,3.0,20,127924,150300,59938
25,3.0,21,64252,150998,42923
25,3.0,22,62014,149131,17779
25,3.0,23,67383,148427,9045
25,3.0,24,28010,144829,779
25,3.0,25,14147,118713,156
25,3.0,26,30245,117709,31
26,-3.0,20,141518,151173,151880
26,-3.0,21,129425,150972,151286
26,-3.0,22,131119,151346,151381
26,-3.0,23,118975,151539,149870
26,-3.0,24,111720,151364,140758
26,-3.0,25,93120,150998,139203
26,-3.0,26,117990,151094,142128
26,0.0,20,144428,151459,148430
26,0.0,21,122184,150765,144872
26,0.0,22,121387,151159,149348
26,0.0,23,99182,151424,141392
26,0.0,24,75474,150710,121002
26,0.0,25,36839,127995,63920
26,0.0,26,63834,126584,80190
26,3.0,20,119734,150325,38104
26,3.0,21,36350,150966,18504
26,3.0,22,64715,149517,15266
26,3.0,23,64398,147229,9193
26,3.0,24,48015,142061,2778
26,3.0,25,26966,107529,699
26,3.0,26,49454,102843,67
27,-3.0,20,150987,151629,151910
27,-3.0,21,147720,151650,151392
27,-3.0,22,148233,151807,151537
27,-3.0,23,122970,151864,150823
27,-3.0,24,115590,151831,143757
27,-3.0,25,110899,150849,142247
27,-3.0,26,136705,151354,143783
27,0.0,20,151377,151877,148016
27,0.0,21,147259,151706,145352
27,0.0,22,149145,151576,150109
27,0.0,23,143981,151715,147016
27,0.0,24,122732,151521,109370
27,0.0,25,111910,149429,92000
27,0.0,26,140381,151366,115601
27,3.0,20,140822,151374,27425
27,3.0,21,106871,150693,11432
27,3.0,22,145376,149728,11063
27,3.0,23,140381,149366,6481
27,3.0,24,135884,146735,1445
27,3.0,25,127724,145391,358
27,3.0,26,139358,147825,110
28,-3.0,20,137689,151301,151893
28,-3.0,21,123754,151098,151356
28,-3.0,22,123599,151574,150926
28,-3.0,23,105435,151710,147312
28,-3.0,24,70313,150628,105314
28,-3.0,25,75690,148201,108422
28,-3.0,26,105966,150707,130267
28,0.0,20,145024,151478,148483
28,0.0,21,133339,151111,147020
28,0.0,22,118997,151693,146566
28,0.0,23,94521,151743,134018
28,0.0,24,37622,150235,71661
28,0.0,25,32324,128673,26720
28,0.0,26,64047,141968,47706
28,3.0,20,127923,150540,39897
28,3.0,21,83473,150685,34503
28,3.0,22,101023,150093,23456
28,3.0,23,96144,149512,10939
28,3.0,24,62929,142790,1172
28,3.0,25,45482,133424,208
28,3.0,26,58104,132713,17
29,-3.0,20,147866,151743,151968
29,-3.0,21,140486,151808,151676
29,-3.0,22,130665,151861,151649
29,-3.0,23,120661,151793,151052
29,-3.0,24,131485,151681,148667
29,-3.0,25,124257,145015,142800
29,-3.0,26,128898,141774,141917
29,0.0,20,148656,151870,150597
29,0.0,21,143077,151771,149950
29,0.0,22,125956,151546,148842
29,0.0,23,117775,150963,143515
29,0.0,24,115393,150802,129655
29,0.0,25,95602,108628,94195
29,0.0,26,103009,109062,94809
29,3.0,20,127036,151492,59514
29,3.0,21,71744,151739,46324
29,3.0,22,68254,150872,19425
29,3.0,23,84573,150737,12004
29,3.0,24,91128,150354,3015
29,3.0,25,85111,139061,307
29,3.0,26,89202,129902,74
30,-3.0,20,142550,151314,151924
30,-3.0,21,135173,151031,151562
30,-3.0,22,130719,151488,151422
30,-3.0,23,109374,151600,150631
30,-3.0,24,64735,150807,136214
30,-3.0,25,70738,149446,139955
30,-3.0,26,86068,150073,138982
30,0.0,20,144936,151627,147818
30,0.0,21,130045,151201,146502
30,0.0,22,118162,151288,147643
30,0.0,23,74166,150980,139434
30,0.0,24,17489,149356,93303
30,0.0,25,9154,112527,38333
30,0.0,26,20703,138701,63718
30,3.0,20,120110,151093,45118
30,3.0,21,53981,151280,23448
30,3.0,22,67990,150420,10094
30,3.0,23,62801,148964,5409
30,3.0,24,51080,146380,851
30,3.0,25,38205,139437,362
30,3.0,26,60783,135560,59
31,-3.0,20,146194,151366,151945
31,-3.0,21,139533,151239,151594
31,-3.0,22,140366,151556,151547
31,-3.0,23,131870,151727,150772
31,-3.0,24,129904,151637,145761
31,-3.0,25,118981,150163,145588
31,-3.0,26,131446,150385,143486
31,0.0,20,147287,151617,149726
31,0.0,21,136145,151209,148460
31,0.0,22,130824,151254,150364
31,0.0,23,126345,151604,147234
31,0.0,24,101577,151334,131709
31,0.0,25,76122,133794,103443
31,0.0,26,112024,133391,115201
31,3.0,20,126341,150875,65097
31,3.0,21,62611,151429,45815
31,3.0,22,90474,150592,27720
31,3.0,23,99169,149933,19179
31,3.0,24,81081,147210,4899
31,3.0,25,73628,125418,1697
31,3.0,26,101434,120281,298
32,-3.0,20,147523,151517,151979
32,-3.0,21,143869,151430,151748
32,-3.0,22,145051,151795,151718
32,-3.0,23,136347,151828,151326
32,-3.0,24,133522,151622,147713
32,-3.0,25,130477,148705,146249
32,-3.0,26,131453,149594,144161
32,0.0,20,148727,151666,151036
32,0.0,21,142518,151242,150224
32,0.0,22,137317,151283,150967
32,0.0,23,130940,151443,148493
32,0.0,24,113341,151027,136524
32,0.0,25,86211,134716,107676
32,0.0,26,111282,145395,130765
32,3.0,20,134696,150621,89085
32,3.0,21,88225,151465,67554
32,3.0,22,100218,150934,50863
32,3.0,23,101644,150558,30684
32,3.0,24,75635,148088,4310
32,3.0,25,50887,126308,533
32,3.0,26,88418,116986,90
33,-3.0,20,144309,151327,151939
33,-3.0,21,136864,151095,151628
33,-3.0,22,131512,151617,151342
33,-3.0,23,106088,151712,150180
33,-3.0,24,49242,151006,130111
33,-3.0,25,48666,150619,132740
33,-3.0,26,77682,150204,134320
33,0.0,20,146494,151601,148674
33,0.0,21,132508,151042,146299
33,0.0,22,116639,151208,147058
33,0.0,23,68382,150985,134516
33,0.0,24,16690,149644,86044
33,0.0,25,10184,131564,30908
33,0.0,26,34924,132586,49118
33,3.0,20,128014,150763,48030
33,3.0,21,63369,151104,22666
33,3.0,22,65652,149723,9680
33,3.0,23,65030,148644,5399
33,3.0,24,39037,143970,693
33,3.0,25,36929,141311,253
33,3.0,26,66429,139455,71
34,-3.0,20,140576,151446,151939
34,-3.0,21,131385,151503,151681
34,-3.0,22,128016,151745,151315
34,-3.0,23,104977,151819,150030
34,-3.0,24,94220,151682,140266
34,-3.0,25,94557,149521,138139
34,-3.0,26,115078,150472,142546
34,0.0,20,142603,151751,149079
34,0.0,21,125309,151521,148221
34,0.0,22,109885,151686,147558
34,0.0,23,70465,151635,139041
34,0.0,24,15425,151408,110175
34,0.0,25,8831,135639,40821
34,0.0,26,25789,144697,69813
34,3.0,20,121844,151233,35789
34,3.0,21,63644,151559,29777
34,3.0,22,87322,150956,30316
34,3.0,23,88463,150240,14867
34,3.0,24,43637,147482,1491
34,3.0,25,37603,137895,245
34,3.0,26,43220,134933,31
35,-3.0,20,140703,151404,151888
35,-3.0,21,128224,150948,151340
35,-3.0,22,129360,151523,151097
35,-3.0,23,100402,151624,148641
35,-3.0,24,64594,150911,123353
35,-3.0,25,57055,149559,132167
35,-3.0,26,97144,149847,135744
35,0.0,20,144816,151661,147270
35,0.0,21,129049,151201,144764
35,0.0,22,116466,151511,141760
35,0.0,23,59337,151410,111920
35,0.0,24,13650,151260,63231
35,0.0,25,7304,138528,23422
35,0.0,26,24021,145249,37092
35,3.0,20,120521,149928,35361
35,3.0,21,42441,150916,20533
35,3.0,22,66975,149457,5879
35,3.0,23,68240,149634,3220
35,3.0,24,26785,145992,279
35,3.0,25,20438,136979,61
35,3.0,26,42474,128535,12
36,-3.0,20,135928,150893,151919
36,-3.0,21,123105,150949,151541
36,-3.0,22,119926,151450,151150
36,-3.0,23,108228,151503,150121
36,-3.0,24,39495,150637,127048
36,-3.0,25,37271,150251,131175
36,-3.0,26,55972,149159,123978
36,0.0,20,141986,151153,149242
36,0.0,21,121437,150911,147101
36,0.0,22,97295,151472,146880
36,0.0,23,60223,150854,134134
36,0.0,24,9889,147998,69392
36,0.0,25,7683,133878,19796
36,0.0,26,5023,124403,11263
36,3.0,20,111068,149646,36427
36,3.0,21,18218,150962,25367
36,3.0,22,27521,149823,8092
36,3.0,23,19024,148631,4178
36,3.0,24,4979,142055,380
36,3.0,25,6643,144476,103
36,3.0,26,11535,144293,18
37,-3.0,20,145029,151426,151928
37,-3.0,21,137370,151122,151491
37,-3.0,22,133252,151638,151073
37,-3.0,23,110555,151776,149673
37,-3.0,24,48601,150530,122500
37,-3.0,25,56816,149349,132156
37,-3.0,26,75766,147287,131521
37,0.0,20,144950,151577,148714
37,0.0,21,129027,150844,146053
37,0.0,22,112534,150871,146292
37,0.0,23,68312,149921,134972
37,0.0,24,12589,142965,70420
37,0.0,25,6894,111344,23164
37,0.0,26,6089,99550,18333
37,3.0,20,118509,151046,45491
37,3.0,21,49320,151360,26037
37,3.0,22,62806,150417,11698
37,3.0,23,55060,148840,6385
37,3.0,24,35231,145271,961
37,3.0,25,31590,134679,394
37,3.0,26,42054,133507,71
38,-3.0,20,145752,151303,151957
38,-3.0,21,139498,151333,151654
38,-3.0,22,138777,151697,151629
38,-3.0,23,131431,151721,151173
38,-3.0,24,114716,151236,144975
38,-3.0,25,113662,147939,144375
38,-3.0,26,122820,144223,145288
