pair,layer,positions,rec
7,18,all,-0.08591547492153245
7,19,last,-0.1630119381792318
7,19,all,-0.07027709607257496
7,20,last,0.04385088160815433
7,20,all,0.13900556918242474
7,21,last,0.14293974435023926
7,21,all,0.1531934298449923
7,22,last,-0.02658107676069315
7,22,all,-0.07087071678778917
7,23,last,0.18070726164174872
7,23,all,0.19287051753959297
7,24,last,0.03173602696058163
7,24,all,0.05737729469133785
7,25,last,-0.129950411508298
7,25,all,-0.10507238591467186
7,26,last,-0.05316747114753721
7,26,all,-0.08549245233507817
7,27,last,-0.023502496788262328
7,27,all,-0.07211091743376137
7,28,last,-0.0342997739032179
7,28,all,0.03218618029270385
7,29,last,-0.29039773456103213
7,29,all,-0.2940558272609298
7,30,last,-0.5642563495169316
7,30,all,-0.5906519605002388
7,31,last,-0.5345911581116914
7,31,all,-0.5345911581116914
8,0,last,0.018674107532273113
8,0,all,0.020114173799539278
8,1,last,-0.0001442981381167512
8,1,all,-0.003993706044847458
8,2,last,0.016579486074388774
8,2,all,-0.24467347024352637
8,3,last,0.017629039198639673
8,3,all,-0.17772361894797128
8,4,last,-0.003310784553573851
8,4,all,-0.23897038625483433
8,5,last,0.016726699326406875
8,5,all,-0.16432603575678711
8,6,last,0.0005135645855818018
