neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,split
L26_N11322,26,11322,contradictory_context,cc_0017,1.6015625,1.59375,-0.0078125,0.349609375,0.349609375,working
L26_N11322,26,11322,contradictory_context,cc_0018,1.0,0.98828125,-0.01171875,0.66796875,0.671875,working
L26_N11322,26,11322,contradictory_context,cc_0019,1.0859375,1.140625,0.0546875,0.6875,0.66015625,working
L26_N11322,26,11322,contradictory_context,cc_0020,0.8125,0.75,-0.0625,0.83984375,0.85546875,working
L26_N11322,26,11322,contradictory_context,cc_0021,0.74609375,0.765625,0.01953125,0.85546875,0.84765625,working
L26_N11322,26,11322,contradictory_context,cc_0022,1.5390625,1.5390625,0.0,0.63671875,0.63671875,working
L26_N11322,26,11322,contradictory_context,cc_0023,1.71875,1.6796875,-0.0390625,0.396484375,0.42578125,working
L26_N11322,26,11322,contradictory_context,cc_0024,0.75390625,0.7421875,-0.01171875,0.81640625,0.8203125,working
L26_N11322,26,11322,contradictory_context,cc_0025,1.421875,1.4140625,-0.0078125,0.47265625,0.474609375,working
L26_N11322,26,11322,contradictory_context,cc_0026,1.46875,1.46875,0.0,0.65625,0.65625,working
L26_N11322,26,11322,contradictory_context,cc_0027,0.37109375,0.37109375,0.0,0.9453125,0.9453125,working
L26_N11322,26,11322,contradictory_context,cc_0028,1.7734375,1.765625,-0.0078125,0.373046875,0.373046875,working
L26_N11322,26,11322,contradictory_context,cc_0029,1.1015625,1.1015625,0.0,0.515625,0.515625,working
L26_N11322,26,11322,contradictory_context,cc_0030,1.046875,1.046875,0.0,0.65625,0.65625,working
L26_N11322,26,11322,contradictory_context,cc_0031,1.578125,1.5703125,-0.0078125,0.458984375,0.458984375,working
L26_N11322,26,11322,contradictory_context,cc_0032,2.0625,2.078125,0.015625,0.56640625,0.5546875,working
L26_N11322,26,11322,contradictory_context,cc_0033,0.8515625,0.84375,-0.0078125,0.65625,0.65625,working
L26_N11322,26,11322,contradictory_context,cc_0034,0.1943359375,0.1953125,0.0009765625,0.97265625,0.97265625,working
L26_N11322,26,11322,contradictory_context,cc_0035,1.4296875,1.4375,0.0078125,0.5546875,0.55078125,working
L26_N11322,26,11322,contradictory_context,cc_0036,1.7890625,1.796875,0.0078125,0.345703125,0.34375,working
L26_N11322,26,11322,contradictory_context,cc_0037,0.8046875,0.80078125,-0.00390625,0.6328125,0.6328125,working
L26_N11322,26,11322,contradictory_context,cc_0038,2.046875,2.046875,0.0,0.416015625,0.416015625,working
L26_N11322,26,11322,contradictory_context,cc_0039,0.84375,0.8359375,-0.0078125,0.84375,0.84375,working
L26_N11322,26,11322,contradictory_context,cc_0040,1.0546875,1.0859375,0.03125,0.474609375,0.46875,working
L26_N11322,26,11322,contradictory_context,cc_0041,0.94140625,0.921875,-0.01953125,0.69140625,0.7109375,working
L26_N11322,26,11322,contradictory_context,cc_0042,0.96875,0.96875,0.0,0.5078125,0.5078125,working
L26_N11322,26,11322,contradictory_context,cc_0043,0.61328125,0.56640625,-0.046875,0.8515625,0.8671875,working
L26_N11322,26,11322,contradictory_context,cc_0044,1.515625,1.5234375,0.0078125,0.341796875,0.353515625,working
L26_N11322,26,11322,contradictory_context,cc_0045,1.2734375,1.2265625,-0.046875,0.474609375,0.486328125,working
L26_N11322,26,11322,contradictory_context,cc_0046,0.8359375,0.875,0.0390625,0.68359375,0.65625,working
L26_N11322,26,11322,contradictory_context,cc_0047,2.6875,2.671875,-0.015625,0.322265625,0.314453125,working
L26_N11322,26,11322,contradictory_context,cc_0048,1.1171875,1.1015625,-0.015625,0.65625,0.66015625,working
L26_N11322,26,11322,contradictory_context,cc_0049,1.0234375,1.0234375,0.0,0.66796875,0.66796875,working
L26_N11322,26,11322,contradictory_context,cc_0050,1.078125,1.0703125,-0.0078125,0.7890625,0.7890625,working
L26_N11322,26,11322,contradictory_context,cc_0051,0.79296875,0.73046875,-0.0625,0.8203125,0.83984375,working
L26_N11322,26,11322,contradictory_context,cc_0052,0.5625,0.60546875,0.04296875,0.875,0.86328125,working
L26_N11322,26,11322,contradictory_context,cc_0053,0.84375,0.84765625,0.00390625,0.83984375,0.83984375,working
L26_N11322,26,11322,contradictory_context,cc_0054,1.1640625,1.1640625,0.0,0.51953125,0.546875,working
L26_N11322,26,11322,contradictory_context,cc_0055,1.890625,1.8828125,-0.0078125,0.50390625,0.5078125,working
L26_N11322,26,11322,contradictory_context,cc_0056,0.5390625,0.58984375,0.05078125,0.89453125,0.8828125,working
L26_N11322,26,11322,contradictory_context,cc_0057,1.796875,1.796875,0.0,0.6171875,0.6171875,working
L26_N11322,26,11322,contradictory_context,cc_0058,0.345703125,0.34765625,0.001953125,0.94140625,0.94140625,working
L26_N11322,26,11322,contradictory_context,cc_0059,2.015625,2.015625,0.0,0.42578125,0.42578125,working
L26_N11322,26,11322,contradictory_context,cc_0060,1.2734375,1.203125,-0.0703125,0.72265625,0.74609375,working
L26_N11322,26,11322,contradictory_context,cc_0061,0.8515625,0.8359375,-0.015625,0.8515625,0.85546875,working
L26_N11322,26,11322,contradictory_context,cc_0062,0.90234375,0.87890625,-0.0234375,0.71484375,0.734375,working
L26_N11322,26,11322,contradictory_context,cc_0063,0.84375,0.83984375,-0.00390625,0.828125,0.828125,working
L26_N11322,26,11322,contradictory_context,cc_0064,0.484375,0.482421875,-0.001953125,0.9140625,0.9140625,working
L26_N11322,26,11322,contradictory_context,cc_0065,0.890625,0.91796875,0.02734375,0.6171875,0.609375,working
L26_N11322,26,11322,contradictory_context,cc_0066,0.734375,0.796875,0.0625,0.85546875,0.83984375,working
L26_N11322,26,11322,contradictory_context,cc_0067,0.74609375,0.74609375,0.0,0.52734375,0.52734375,working
L26_N11322,26,11322,contradictory_context,cc_0068,1.203125,1.203125,0.0,0.546875,0.546875,working
L26_N11322,26,11322,contradictory_context,cc_0069,0.953125,0.953125,0.0,0.7890625,0.7890625,working
L26_N11322,26,11322,contradictory_context,cc_0070,1.7265625,1.7265625,0.0,0.349609375,0.359375,working
