neuron_id,group,weight_norm,null_space_fraction,logit_var
L31_N11532,random,2.1749095916748047,0.3115020260249187,0.0008711957489140332
L23_N7269,random,1.8417972326278687,0.27475779305005277,0.0006376232486218214
L24_N11370,random,1.814013957977295,0.2842091884657809,0.000626494234893471
L26_N474,random,1.8376843929290771,0.304010174343038,0.0006404427113011479
L23_N5314,random,1.7814878225326538,0.2695287931898344,0.0005933385691605508
L23_N4806,random,1.8295975923538208,0.28387889658299476,0.000636171258520335
L26_N6141,random,1.8792599439620972,0.3202926217963807,0.0006573237478733063
L29_N2385,random,1.1976866722106934,0.2445307389400848,0.00027225655503571033
L24_N8702,random,1.8101664781570435,0.284123039789235,0.0006218606140464544
L29_N9272,random,1.9405806064605713,0.2809286880866515,0.0007043909863568842
L31_N12984,random,1.91620934009552,0.5974025416239062,0.0005745336529798806
L24_N2785,random,1.8456357717514038,0.3027587282487165,0.0006415852112695575
L24_N1293,random,1.8225901126861572,0.3031211536707859,0.000644934072624892
L30_N14267,random,2.0384600162506104,0.29479906888921575,0.0007637770031578839
L29_N10153,random,1.979554533958435,0.28567645447196904,0.0007695152307860553
L31_N3945,random,2.1039845943450928,0.28808730692561946,0.000823186885099858
L29_N9554,random,1.6664762496948242,0.4001393548674951,0.0004718188720289618
L24_N3804,random,1.6978124380111694,0.29246590941597367,0.0005108079058118165
L29_N10451,random,1.7773798704147339,0.6669947295161617,0.00045119511196389794
L26_N7529,random,1.8907685279846191,0.3991784270003791,0.0006066448404453695
L26_N10925,random,1.8336480855941772,0.299452273147557,0.0006282555405050516
L23_N13183,random,1.8517720699310303,0.29982827756448915,0.0006523160845972598
L29_N4712,random,1.9689642190933228,0.2758478619506277,0.0007326966733671725
L31_N8955,random,2.0900180339813232,0.2962885391895421,0.0008133227238431573
L24_N1210,random,1.818699598312378,0.30222760240330443,0.0006172909052111208
L29_N5661,random,1.8042693138122559,0.30140222450360216,0.000641527003608644
L30_N4901,random,1.6834982633590698,0.28671007299067985,0.0005865561543032527
L31_N6951,random,1.5017691850662231,0.8501131907640095,0.00023669439542572945
L31_N4097,random,1.06662118434906,0.6325500277865655,0.00021588765957858413
L29_N13849,random,2.0971193313598633,0.485393003307021,0.0007450381526723504
L26_N3263,random,1.850708246231079,0.30195938565567637,0.0006467050407081842
L29_N13981,random,1.9373176097869873,0.329217369467158,0.0007122671813704073
L29_N1747,random,1.96863853931427,0.28629319229699013,0.0007348241633735597
L24_N6248,random,1.650471568107605,0.26699315983124716,0.0004814107087440789
L30_N5881,random,2.0183181762695312,0.2813870572447478,0.0007743231253698468
L30_N4847,random,1.8566426038742065,0.3664328314916296,0.0006269958685152233
L31_N4837,random,2.171459674835205,0.28374017677240476,0.0008884433191269636
L23_N13599,random,1.8309965133666992,0.30677218128692246,0.0006422167061828077
L31_N6484,random,1.0298831462860107,0.2937567699175116,0.00021164314239285886
L26_N132,random,1.8647563457489014,0.31907949452060014,0.0006432687514461577
L30_N14173,random,1.838785171508789,0.278433278549418,0.0006392913637682796
L31_N12751,random,2.1702592372894287,0.2894671838316791,0.0008763319347053766
L31_N803,random,1.5935869216918945,0.6288829363152997,0.00036642979830503464
L30_N12208,random,1.8385341167449951,0.2903350130447912,0.0006165970698930323
L29_N13645,random,1.962693691253662,0.294956356380531,0.000724647892639041
L26_N12709,random,1.8699761629104614,0.2878724293740352,0.0006577814347110689
L24_N9946,random,1.8319119215011597,0.2982490423753964,0.00067153136478737
L26_N3588,random,1.8780773878097534,0.3027488097649862,0.0006657239282503724
L31_N3115,random,1.7049709558486938,0.6853569973112136,0.00039331690641120076
L30_N4106,random,2.0725395679473877,0.5701714889678844,0.0006640201900154352
L31_N12379,random,1.430922269821167,0.6786799806847702,0.0006580137414857745
L31_N12574,random,1.6968157291412354,0.2673287973459281,0.0006020338623784482
L31_N11155,random,1.4602662324905396,0.34724661641703336,0.00036746455589309335
L24_N10293,random,1.7014905214309692,0.4513659470669529,0.0004969362053088844
