cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,2,random8,control_to_uncertain,patched,-4.663444519042969,-5.850944519042969,-7.382194519042969,-5.850944519042969,-6.944694519042969,-2.1009442806243896,-6.038444519042969,-13.413444519042969,-8.944694519042969,-10.632194519042969,-7.882194519042969
circuit,2,random9,control_to_uncertain,patched,-5.247411727905273,-5.997411727905273,-8.153661727905273,-7.278661727905273,-7.497411727905273,-1.5599114894866943,-5.122411727905273,-12.825536727905273,-9.216161727905273,-10.528661727905273,-7.653661727905273
circuit,2,random10,control_to_uncertain,patched,-5.606832504272461,-6.356832504272461,-8.138082504272461,-6.294332504272461,-7.669332504272461,-2.044332504272461,-5.669332504272461,-13.255270004272461,-8.450582504272461,-10.356832504272461,-7.388082504272461
circuit,2,random11,control_to_uncertain,patched,-5.025422096252441,-6.150422096252441,-7.931672096252441,-5.962922096252441,-7.650422096252441,-1.8379218578338623,-6.025422096252441,-13.486359596252441,-5.775422096252441,-10.900422096252441,-6.025422096252441
circuit,2,random12,control_to_uncertain,patched,-5.476042747497559,-6.538542747497559,-7.882292747497559,-5.663542747497559,-7.819792747497559,-1.1635427474975586,-6.038542747497559,-13.046355247497559,-5.976042747497559,-10.288542747497559,-5.226042747497559
circuit,2,random13,control_to_uncertain,patched,-5.532505035400391,-6.845005035400391,-7.657505035400391,-5.657505035400391,-7.782505035400391,-1.2825052738189697,-5.720005035400391,-13.29031753540039,-6.095005035400391,-10.67313003540039,-5.532505035400391
circuit,2,random14,control_to_uncertain,patched,-5.276921272277832,-6.526921272277832,-7.651921272277832,-5.151921272277832,-7.901921272277832,-1.4644213914871216,-6.276921272277832,-13.503483772277832,-6.870671272277832,-11.073796272277832,-5.401921272277832
circuit,2,random15,control_to_uncertain,patched,-5.517637729644775,-6.767637729644775,-7.861387729644775,-5.830137729644775,-7.861387729644775,-1.142637848854065,-5.642637729644775,-13.908263206481934,-7.298887729644775,-11.673888206481934,-7.142637729644775
circuit,2,random16,control_to_uncertain,patched,-4.804263114929199,-5.554263114929199,-7.679263114929199,-7.366763114929199,-7.554263114929199,-1.6167633533477783,-5.804263114929199,-12.6011381149292,-10.2105131149292,-10.5230131149292,-8.5855131149292
circuit,2,random17,control_to_uncertain,patched,-5.085112571716309,-6.397612571716309,-7.991362571716309,-5.460112571716309,-8.147612571716309,-0.9601126909255981,-5.460112571716309,-13.870268821716309,-5.522612571716309,-11.194487571716309,-6.022612571716309
circuit,2,random18,control_to_uncertain,patched,-5.3933000564575195,-6.4245500564575195,-6.9870500564575195,-4.9558000564575195,-7.5183000564575195,-1.7058000564575195,-6.5808000564575195,-13.13548755645752,-6.3933000564575195,-10.72142505645752,-6.0808000564575195
circuit,2,random19,control_to_uncertain,patched,-4.981386184692383,-6.356386184692383,-7.856386184692383,-6.231386184692383,-7.293886184692383,-2.168886184692383,-5.543886184692383,-13.403261184692383,-8.950136184692383,-11.043886184692383,-6.825136184692383
circuit,2,random20,control_to_uncertain,patched,-5.963623523712158,-6.963623523712158,-8.526124000549316,-5.463623523712158,-7.369873523712158,-2.276123523712158,-6.338623523712158,-13.799561500549316,-8.151124000549316,-10.838624000549316,-7.276123523712158
circuit,2,random21,control_to_uncertain,patched,-5.818211078643799,-6.630711078643799,-7.724461078643799,-5.630711078643799,-8.22446060180664,-0.9432109594345093,-6.443211078643799,-13.66196060180664,-6.380711078643799,-11.03696060180664,-6.193211078643799
circuit,2,random22,control_to_uncertain,patched,-4.789113998413086,-5.851613998413086,-7.914113998413086,-5.539113998413086,-7.164113998413086,-2.789113759994507,-5.851613998413086,-13.648488998413086,-9.820363998413086,-10.867238998413086,-8.289113998413086
circuit,2,random23,control_to_uncertain,patched,-5.269632339477539,-6.457132339477539,-8.050882339477539,-5.582132339477539,-7.832132339477539,-1.457132339477539,-5.332132339477539,-13.480569839477539,-8.769632339477539,-10.363382339477539,-7.613382339477539
circuit,2,random24,control_to_uncertain,patched,-5.721240997314453,-6.721240997314453,-8.627490997314453,-6.158740997314453,-8.221240997314453,-1.4087411165237427,-5.533740997314453,-13.947803497314453,-8.158740997314453,-11.861865997314453,-6.783740997314453
circuit,2,random25,control_to_uncertain,patched,-5.584137916564941,-6.771637916564941,-8.584137916564941,-5.646637916564941,-7.959137916564941,-2.0216379165649414,-5.771637916564941,-13.740387916564941,-8.802887916564941,-10.943512916564941,-7.646637916564941
circuit,2,random26,control_to_uncertain,patched,-4.782235145568848,-5.719735145568848,-8.000985145568848,-5.594735145568848,-7.532235145568848,-2.3447351455688477,-5.407235145568848,-13.313485145568848,-9.719735145568848,-10.657235145568848,-8.875985145568848
circuit,2,random27,control_to_uncertain,patched,-5.1481475830078125,-6.1481475830078125,-7.8981475830078125,-5.2106475830078125,-7.2731475830078125,-1.960647702217102,-5.7106475830078125,-13.280960083007812,-8.116897583007812,-10.491897583007812,-7.2106475830078125
circuit,2,random28,control_to_uncertain,patched,-5.568445205688477,-6.255945205688477,-8.037195205688477,-5.505945205688477,-7.599695205688477,-1.5059453248977661,-5.630945205688477,-13.154382705688477,-7.537195205688477,-10.615320205688477,-6.505945205688477
