neuron_id,layer,neuron,score_last,score_all,abs_all
L14_N4109,14,4109,0.06091252714395523,0.06071280688047409,0.06071280688047409
L16_N9160,16,9160,-0.002591406460851431,0.06040727347135544,0.06040727347135544
L14_N3444,14,3444,-0.007648956961929798,-0.05838871747255325,0.05838871747255325
L20_N8899,20,8899,-0.002813518512994051,0.05818723887205124,0.05818723887205124
L15_N10929,15,10929,-0.005155292805284262,-0.05728495121002197,0.05728495121002197
L16_N13926,16,13926,-0.0005618316354230046,0.057022202759981155,0.057022202759981155
L19_N10869,19,10869,-0.013169368728995323,-0.0561278834939003,0.0561278834939003
L14_N1049,14,1049,0.002011531498283148,0.05580694600939751,0.05580694600939751
L23_N5876,23,5876,-0.0002917524834629148,0.05512106418609619,0.05512106418609619
L14_N5792,14,5792,-0.0055071283131837845,-0.054918013513088226,0.054918013513088226
L16_N458,16,458,0.04291863739490509,0.05486563593149185,0.05486563593149185
L18_N8841,18,8841,-0.005198105238378048,-0.054428379982709885,0.054428379982709885
L16_N830,16,830,-0.025458121672272682,-0.05254817008972168,0.05254817008972168
L12_N4302,12,4302,-0.0017188340425491333,-0.05224112421274185,0.05224112421274185
L14_N7309,14,7309,-1.8164579159929417e-05,-0.051637936383485794,0.051637936383485794
L21_N13209,21,13209,-0.03210708498954773,-0.051435232162475586,0.051435232162475586
L22_N3766,22,3766,-0.03411141782999039,-0.051049113273620605,0.051049113273620605
L16_N11339,16,11339,-0.008304092101752758,0.05101664736866951,0.05101664736866951
L19_N144,19,144,0.0016715448582544923,0.050930559635162354,0.050930559635162354
L21_N13120,21,13120,-0.04459796100854874,-0.05024421215057373,0.05024421215057373
L13_N2158,13,2158,0.00019052624702453613,0.050225548446178436,0.050225548446178436
L18_N7148,18,7148,0.0028974032029509544,0.05012497305870056,0.05012497305870056
L13_N5922,13,5922,0.023439381271600723,0.04939168319106102,0.04939168319106102
L12_N11760,12,11760,-0.00014641442976426333,0.04909106716513634,0.04909106716513634
L16_N11462,16,11462,-0.0006098170997574925,-0.048517681658267975,0.048517681658267975
L17_N9282,17,9282,-0.005971826612949371,-0.04800048843026161,0.04800048843026161
L16_N11035,16,11035,0.0014288036618381739,0.04796063154935837,0.04796063154935837
L18_N10965,18,10965,-0.005464421585202217,0.04783488065004349,0.04783488065004349
L20_N7469,20,7469,0.0005567785119637847,-0.04706966504454613,0.04706966504454613
L15_N5812,15,5812,4.699234705185518e-05,-0.04685935005545616,0.04685935005545616
L14_N14173,14,14173,0.00033476753742434084,0.04677535593509674,0.04677535593509674
L15_N4419,15,4419,-0.00654842983931303,-0.04666589945554733,0.04666589945554733
L14_N4754,14,4754,0.014117112383246422,0.046451326459646225,0.046451326459646225
L15_N3052,15,3052,-0.00590034993365407,-0.04602810740470886,0.04602810740470886
L22_N3410,22,3410,0.04354196786880493,0.045901138335466385,0.045901138335466385
L22_N5788,22,5788,-0.00308937206864357,0.04527156427502632,0.04527156427502632
L13_N736,13,736,0.0005311950808390975,-0.044896915555000305,0.044896915555000305
L20_N4260,20,4260,0.005066356621682644,0.043383073061704636,0.043383073061704636
L16_N12330,16,12330,-0.0027828619349747896,-0.04319566488265991,0.04319566488265991
L13_N567,13,567,0.004392189905047417,0.043172694742679596,0.043172694742679596
L15_N1816,15,1816,-0.018023569136857986,-0.04306869953870773,0.04306869953870773
L25_N11944,25,11944,-0.0031364355236291885,0.0422871932387352,0.0422871932387352
L19_N10860,19,10860,-0.007053648121654987,-0.04223769158124924,0.04223769158124924
