pair,arm,layer,group,pos,rank_unknown
4,uncertain,21,readout,47,2
4,uncertain,22,entity,36,12199
4,uncertain,22,entity,37,2491
4,uncertain,22,readout,47,1
4,uncertain,23,entity,36,7212
4,uncertain,23,entity,37,1627
4,uncertain,23,readout,47,1
4,uncertain,24,entity,36,14136
4,uncertain,24,entity,37,5232
4,uncertain,24,readout,47,1
4,uncertain,25,entity,36,16755
4,uncertain,25,entity,37,3813
4,uncertain,25,readout,47,1
4,uncertain,26,entity,36,30984
4,uncertain,26,entity,37,6180
4,uncertain,26,readout,47,1
4,uncertain,27,entity,36,17187
4,uncertain,27,entity,37,2865
4,uncertain,27,readout,47,1
4,uncertain,28,entity,36,12237
4,uncertain,28,entity,37,7688
4,uncertain,28,readout,47,3
4,uncertain,29,entity,36,16282
4,uncertain,29,entity,37,17799
4,uncertain,29,readout,47,15
4,uncertain,30,entity,36,16360
4,uncertain,30,entity,37,13494
4,uncertain,30,readout,47,10
4,control,0,entity,36,75094
4,control,0,readout,46,16664
4,control,1,entity,36,119867
4,control,1,readout,46,15445
4,control,2,entity,36,99837
4,control,2,readout,46,331
4,control,3,entity,36,104112
4,control,3,readout,46,1071
4,control,4,entity,36,108466
4,control,4,readout,46,557
4,control,5,entity,36,99724
4,control,5,readout,46,463
4,control,6,entity,36,119063
4,control,6,readout,46,342
4,control,7,entity,36,53103
4,control,7,readout,46,774
4,control,8,entity,36,92668
4,control,8,readout,46,713
4,control,9,entity,36,44130
4,control,9,readout,46,213
4,control,10,entity,36,23832
4,control,10,readout,46,277
4,control,11,entity,36,16326
4,control,11,readout,46,440
4,control,12,entity,36,21923
4,control,12,readout,46,596
4,control,13,entity,36,31762
4,control,13,readout,46,2298
4,control,14,entity,36,25545
4,control,14,readout,46,166
4,control,15,entity,36,35505
4,control,15,readout,46,729
4,control,16,entity,36,39363
4,control,16,readout,46,3831
4,control,17,entity,36,39300
4,control,17,readout,46,1772
4,control,18,entity,36,42593
4,control,18,readout,46,2318
4,control,19,entity,36,16040
4,control,19,readout,46,1688
4,control,20,entity,36,24637
4,control,20,readout,46,2532
4,control,21,entity,36,12735
4,control,21,readout,46,1873
4,control,22,entity,36,12199
4,control,22,readout,46,5697
4,control,23,entity,36,7212
4,control,23,readout,46,6251
4,control,24,entity,36,14136
4,control,24,readout,46,9847
4,control,25,entity,36,16755
4,control,25,readout,46,6404
4,control,26,entity,36,30984
4,control,26,readout,46,5698
4,control,27,entity,36,17187
4,control,27,readout,46,1482
4,control,28,entity,36,12237
4,control,28,readout,46,1186
4,control,29,entity,36,16282
4,control,29,readout,46,1772
4,control,30,entity,36,16360
4,control,30,readout,46,1979
5,uncertain,0,entity,35,57701
5,uncertain,0,readout,45,16658
5,uncertain,1,entity,35,58508
5,uncertain,1,readout,45,14467
5,uncertain,2,entity,35,19367
5,uncertain,2,readout,45,326
5,uncertain,3,entity,35,42882
5,uncertain,3,readout,45,1064
5,uncertain,4,entity,35,16305
5,uncertain,4,readout,45,541
5,uncertain,5,entity,35,13383
5,uncertain,5,readout,45,473
5,uncertain,6,entity,35,38833
5,uncertain,6,readout,45,333
5,uncertain,7,entity,35,6489
5,uncertain,7,readout,45,711
5,uncertain,8,entity,35,519
5,uncertain,8,readout,45,708
5,uncertain,9,entity,35,468
5,uncertain,9,readout,45,165
5,uncertain,10,entity,35,305
5,uncertain,10,readout,45,216
5,uncertain,11,entity,35,635
