pair,alpha,layer,rankunknown,rankI,ranknot
12,-3.0,17,87324,106991,946
12,-3.0,18,58126,108200,766
12,-3.0,19,27403,60370,321
12,-3.0,20,21748,64561,349
12,-3.0,21,6225,48183,530
12,-3.0,22,18826,66670,996
12,-3.0,23,14163,91347,568
12,-3.0,24,13311,110202,393
12,-3.0,25,3428,110254,240
12,-3.0,26,2872,118748,350
12,-3.0,27,391,79668,98
12,-3.0,28,687,53406,48
12,-3.0,29,592,12883,32
12,-3.0,30,504,646,11
12,0.0,16,2106,4994,373
12,0.0,17,230,7594,150
12,0.0,18,144,9139,89
12,0.0,19,53,4195,88
12,0.0,20,158,6729,166
12,0.0,21,107,6953,317
12,0.0,22,212,14820,445
12,0.0,23,300,27127,287
12,0.0,24,434,54323,301
12,0.0,25,199,58292,207
12,0.0,26,232,74631,224
12,0.0,27,61,35399,71
12,0.0,28,91,28080,18
12,0.0,29,117,6828,26
12,0.0,30,112,371,3
12,3.0,16,214,771,1063
12,3.0,17,16,986,561
12,3.0,18,20,1790,228
12,3.0,19,1,981,205
12,3.0,20,2,1549,426
12,3.0,21,1,1841,817
12,3.0,22,3,3115,751
12,3.0,23,23,4380,560
12,3.0,24,39,7475,431
12,3.0,25,33,6484,401
12,3.0,26,51,15742,505
12,3.0,27,25,6327,255
12,3.0,28,50,4849,61
12,3.0,29,51,2525,36
12,3.0,30,27,211,4
13,-3.0,16,126752,124520,92639
13,-3.0,17,125788,126758,80162
13,-3.0,18,123495,127467,84996
13,-3.0,19,113990,122024,54917
13,-3.0,20,118180,125412,59965
13,-3.0,21,89837,122152,51348
13,-3.0,22,96194,121344,66507
13,-3.0,23,53211,122314,54203
13,-3.0,24,31628,122326,49014
13,-3.0,25,27270,119090,32387
13,-3.0,26,37897,124476,44016
13,-3.0,27,3572,93903,8414
13,-3.0,28,2183,52926,1565
13,-3.0,29,1083,16224,512
13,-3.0,30,1262,924,109
13,0.0,16,50655,68925,41169
13,0.0,17,40590,108287,37080
13,0.0,18,28431,119296,45027
13,0.0,19,16455,81442,31772
13,0.0,20,31129,93522,27293
13,0.0,21,9305,79728,37677
13,0.0,22,17316,80761,50731
13,0.0,23,4847,81239,40893
13,0.0,24,3535,95742,36415
13,0.0,25,3877,83524,23176
13,0.0,26,6646,96733,27471
13,0.0,27,1011,32245,4940
13,0.0,28,634,21915,1103
13,0.0,29,489,5027,361
13,0.0,30,794,452,92
13,3.0,16,1116,2478,8224
13,3.0,17,619,4853,7169
13,3.0,18,624,8207,8039
13,3.0,19,306,5456,8533
13,3.0,20,828,6893,5707
13,3.0,21,640,8387,11567
13,3.0,22,1271,10170,15354
13,3.0,23,753,10446,11653
13,3.0,24,974,18796,12560
13,3.0,25,1488,14090,9921
13,3.0,26,1866,26978,13283
13,3.0,27,1087,6311,5798
13,3.0,28,838,6148,2103
13,3.0,29,666,4918,1182
13,3.0,30,679,740,218
14,-3.0,16,125797,116725,61324
14,-3.0,17,124454,123948,48010
14,-3.0,18,121846,125497,61005
14,-3.0,19,107733,115017,29874
14,-3.0,20,109470,120836,28930
14,-3.0,21,59940,113682,20961
14,-3.0,22,70746,115655,32401
14,-3.0,23,35877,122971,18756
14,-3.0,24,28214,122781,16929
14,-3.0,25,22589,115332,12243
14,-3.0,26,33476,118882,27508
14,-3.0,27,4605,77815,4075
14,-3.0,28,3827,48369,1227
14,-3.0,29,2598,13493,606
14,-3.0,30,1748,882,75
14,0.0,16,22459,19776,8638
14,0.0,17,20600,64508,7081
14,0.0,18,16583,92737,15411
14,0.0,19,7771,52586,10285
14,0.0,20,10956,63888,8221
14,0.0,21,2122,51392,7140
14,0.0,22,3654,66656,7696
14,0.0,23,1756,84174,3027
14,0.0,24,2452,91907,2231
14,0.0,25,2182,70247,2029
14,0.0,26,4748,79196,4996
14,0.0,27,1137,26629,985
14,0.0,28,894,17271,359
14,0.0,29,930,7181,271
14,0.0,30,700,728,33
14,3.0,16,705,922,3704
14,3.0,17,637,2262,3229
14,3.0,18,641,3694,3719
14,3.0,19,224,3025,3902
14,3.0,20,597,3715,2778
14,3.0,21,396,4584,3177
14,3.0,22,681,7578,3101
14,3.0,23,545,8784,1934
14,3.0,24,687,15060,1283
14,3.0,25,792,8194,1453
14,3.0,26,1181,11672,2425
14,3.0,27,492,3495,891
14,3.0,28,507,2598,334
14,3.0,29,573,1644,212
14,3.0,30,354,466,27
15,-3.0,16,125918,122692,68443
15,-3.0,17,124740,126295,55066
15,-3.0,18,121884,127299,63558
15,-3.0,19,111537,121042,30822
15,-3.0,20,114156,124577,31713
15,-3.0,21,78375,120185,26881
15,-3.0,22,88179,119841,40455
15,-3.0,23,47267,119812,32861
15,-3.0,24,60480,122786,33473
15,-3.0,25,48820,122008,19945
15,-3.0,26,52221,124247,27989
15,-3.0,27,5162,101636,2917
15,-3.0,28,3741,43810,698
15,-3.0,29,1142,14787,228
15,-3.0,30,1282,1069,42
15,0.0,16,41736,52711,15082
15,0.0,17,28604,100089,11460
15,0.0,18,26458,118193,13087
15,0.0,19,21345,81542,8071
15,0.0,20,29620,96509,7168
15,0.0,21,10371,85951,15170
15,0.0,22,25451,95771,27831
15,0.0,23,12077,87347,25763
15,0.0,24,16652,96365,17525
15,0.0,25,12568,98258,12516
15,0.0,26,15276,103741,12144
15,0.0,27,1481,57572,1104
15,0.0,28,1462,31584,509
15,0.0,29,605,4220,125
15,0.0,30,986,407,32
15,3.0,16,1942,2667,6446
15,3.0,17,529,4382,4732
15,3.0,18,1021,9700,4289
15,3.0,19,195,6106,3764
15,3.0,20,545,8378,2909
15,3.0,21,487,10889,7223
15,3.0,22,1452,20877,12705
15,3.0,23,1014,22867,9733
15,3.0,24,1307,32054,5991
15,3.0,25,1500,28983,6115
15,3.0,26,1491,44020,7482
15,3.0,27,733,15526,1941
15,3.0,28,777,14640,941
15,3.0,29,547,5762,443
15,3.0,30,525,729,81
16,-3.0,16,124210,114020,16595
16,-3.0,17,124215,118573,6860
16,-3.0,18,113652,122585,10256
16,-3.0,19,114454,85195,1348
16,-3.0,20,107890,104835,918
16,-3.0,21,53564,88238,781
16,-3.0,22,75845,89718,1541
16,-3.0,23,56133,115065,704
16,-3.0,24,55406,119977,618
16,-3.0,25,34428,108972,497
16,-3.0,26,43180,117669,909
16,-3.0,27,8206,85422,449
16,-3.0,28,5635,46081,217
16,-3.0,29,2658,39409,72
16,-3.0,30,1535,1253,35
16,0.0,16,11576,8106,1246
16,0.0,17,6014,20278,673
16,0.0,18,1966,39658,660
16,0.0,19,7484,9575,447
16,0.0,20,4863,19348,322
16,0.0,21,1720,18306,512
16,0.0,22,3056,22027,847
16,0.0,23,1492,46425,499
16,0.0,24,1782,65212,446
16,0.0,25,2232,66285,473
16,0.0,26,2734,81525,626
16,0.0,27,802,27574,357
16,0.0,28,710,15140,167
16,0.0,29,477,20832,76
16,0.0,30,569,1100,35
16,3.0,16,717,613,2074
16,3.0,17,295,1058,963
16,3.0,18,238,2398,681
16,3.0,19,46,1373,538
16,3.0,20,48,1441,278
16,3.0,21,53,1646,322
16,3.0,22,94,2736,460
16,3.0,23,122,5914,379
16,3.0,24,157,8321,305
16,3.0,25,253,12760,326
16,3.0,26,313,20627,385
16,3.0,27,226,5789,317
16,3.0,28,239,3888,191
16,3.0,29,224,2537,116
16,3.0,30,189,683,42
17,-3.0,16,125545,118852,27138
17,-3.0,17,125285,121974,13962
17,-3.0,18,117119,124679,20527
