neuron_id,layer,neuron,score_last,score_all,abs_all
L20_N17130,20,17130,0.00597428297623992,0.03133298456668854,0.03133298456668854
L17_N8120,17,8120,-0.01532895676791668,-0.031329937279224396,0.031329937279224396
L14_N5149,14,5149,-0.002286462113261223,0.031322937458753586,0.031322937458753586
L18_N17,18,17,0.015284386463463306,0.03130517154932022,0.03130517154932022
L20_N18657,20,18657,0.024747569113969803,0.03127969801425934,0.03127969801425934
L20_N547,20,547,-0.023662220686674118,-0.03127668797969818,0.03127668797969818
L19_N18801,19,18801,-0.005231849383562803,-0.03126632422208786,0.03126632422208786
L18_N14342,18,14342,-0.013067576102912426,-0.031251467764377594,0.031251467764377594
L10_N17450,10,17450,0.002964421408250928,0.031248515471816063,0.031248515471816063
L21_N10478,21,10478,-0.01519828848540783,-0.031239911913871765,0.031239911913871765
L21_N3892,21,3892,-0.029983237385749817,-0.031237244606018066,0.031237244606018066
L19_N1351,19,1351,0.03171227127313614,0.03122582659125328,0.03122582659125328
L15_N2650,15,2650,0.0011814311146736145,0.031210750341415405,0.031210750341415405
L16_N14570,16,14570,-0.0034199892543256283,-0.031204525381326675,0.031204525381326675
L15_N765,15,765,-7.28696322767064e-05,0.031192943453788757,0.031192943453788757
L18_N12121,18,12121,-0.031956084072589874,-0.031185677275061607,0.031185677275061607
L11_N4009,11,4009,-0.0001043495285557583,0.031154464930295944,0.031154464930295944
L17_N8306,17,8306,-0.009106716141104698,-0.031150225549936295,0.031150225549936295
L12_N11948,12,11948,0.002737560775130987,0.031142855063080788,0.031142855063080788
L19_N8376,19,8376,0.001924421638250351,0.03114132583141327,0.03114132583141327
L19_N15906,19,15906,0.02179904654622078,0.031117355450987816,0.031117355450987816
L20_N11655,20,11655,-0.025379512459039688,-0.031086307018995285,0.031086307018995285
L22_N1284,22,1284,0.00042688995017670095,-0.031070437282323837,0.031070437282323837
L19_N2766,19,2766,0.005300207994878292,0.031065111979842186,0.031065111979842186
L21_N8872,21,8872,-0.025752892717719078,-0.031055539846420288,0.031055539846420288
L18_N11849,18,11849,0.03787141293287277,0.031037405133247375,0.031037405133247375
L22_N6923,22,6923,4.257205728208646e-05,0.0310272965580225,0.0310272965580225
